Tissue	CellType	Description	Genes	Confidence	NumGenes	Category
Pan-tissue	All cells	Sex - Drug metabolism: sex-dimorphic CYP450 enzymes (pharmacogenomics confounder)	CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A7|CYP2E1|CYP1B1|CYP2B6|CYP2C9|UGT1A1|UGT2B17|UGT2B15|ABCB1|ABCG2|SLC22A1	High	15	Sex
Pan-tissue	Immune cells	Sex - Sex-biased innate immunity: TLR7/8 and interferon response	TLR7|TLR8|IRAK1|IRF5|IRF7|IFNA1|IFNB1|ISG15|MX1|OAS1|OAS2|STAT1|STAT2|DDX58|IFIH1|TRIM25	Medium	16	Sex
Pan-tissue	All cells	Sex - GH/IGF1 axis sex dimorphism: growth hormone pulsatility effects	GH1|GHR|IGF1|IGFBP1|IGFBP3|STAT5B|SOCS2|CYP2C11|SLC22A7|SERPINA3|SERPINA6|IGFALS	Medium	12	Sex
Pan-tissue	All cells	Sex - Chromatin sex differences: X-inactivation and dosage compensation	XIST|TSIX|FIRRE|SMCHD1|DNMT3B|MECP2|H3K27ME3|ATRX|SETDB1|TRIM28|YY1|CTCF|HDAC3|HDAC8|JARID2	Medium	15	Sex
Pan-tissue	All cells	Sex - Novel Gemini-identified sex-dimorphic genes across tissues	ZNF726|ZNF730|MST4|ABCA3|AAAS|PRKX|HPRT1|FYB1|GATA3|EGFL6|LCL|TSPAN6|TSNARE1	Low	13	Sex
Pan-tissue	Adipocytes	Weight_BMI - Core adipogenesis/lipid metabolism: universal BMI-responsive genes	LEP|ADIPOQ|FABP4|PPARG|CEBPA|CEBPB|PLIN1|PLIN2|CIDEA|LPL|FASN|ACACA|ACACB|DGAT1|DGAT2|SCD|ELOVL6|CD36	High	18	Weight_BMI
Pan-tissue	All cells	Weight_BMI - Insulin resistance pathway: cross-tissue IR signaling	IRS1|IRS2|SLC2A4|PIK3R1|PIK3CA|AKT1|AKT2|PTEN|INSR|IGF1R|GRB2|SOS1|FOXO1|FOXO3|GSK3B|PPARGC1A|PCK1|G6PC	High	18	Weight_BMI
Pan-tissue	All cells	Weight_BMI - ER stress/UPR: obesity-induced unfolded protein response	HSPA5|HSP90B1|DDIT3|ATF3|ATF4|ATF6|EIF2AK3|EIF2S1|XBP1|ERN1|EDEM1|DNAJC3|CALR|CANX|SEL1L|DERL1|HERPUD1	High	17	Weight_BMI
Pan-tissue	Macrophages	Weight_BMI - Adipose tissue macrophage activation: M1 polarization in obesity	CD14|CD68|ITGAX|ITGB2|CCL2|CCL4|TNF|IL1B|IL6|CXCL8|CXCL10|TLR2|TLR4|MYD88|NFKB1|NLRP3|SPP1|C1QA|C1QB|C1QC|CTSS|LY86|FCN1|MNDA|NCF2	High	25	Weight_BMI
Pan-tissue	All cells	Weight_BMI - Lipotoxicity: fatty acid oxidation and ceramide stress	CPT1A|CPT1B|CPT2|PPARA|ACOX1|ACADL|ACADM|ACADVL|HMGCR|HMGCS1|SMPD1|SMPD2|CERS2|CERS4|CERS6|UGCG|GBA1	High	17	Weight_BMI
Pan-tissue	All cells	Weight_BMI - GWAS obesity/T2D loci with transcriptomic effects (eQTL-validated)	FTO|MC4R|TMEM18|BDNF|SH2B1|GNPDA2|NEGR1|TCF7L2|GCKR|PNPLA3|KLF14|NT5C2|PEPD|PHACTR3|GALNTL6|NUDT10|LINC01612	High	17	Weight_BMI
Pan-tissue	All cells	Weight_BMI - Adipokine signaling: secreted factors altered by BMI across tissues	LEP|LEPR|ADIPOQ|ADIPOR1|ADIPOR2|RETN|RBP4|NAMPT|ANGPTL4|APELIN|IL6|TNF|CRP|SAA1|SAA2|CFD|VEGFB	Medium	17	Weight_BMI
Pan-tissue	All cells	Weight_BMI - Mitochondrial bioenergetics: OXPHOS suppression in obesity	PPARGC1A|PPARGC1B|PPARA|PPARD|ESRRA|NRF1|TFAM|NDUFA1|NDUFB8|SDHB|UQCRC2|COX5A|ATP5F1A|CS|IDH2|ACO2|PRKAA1	Medium	17	Weight_BMI
Pan-tissue	All cells	Weight_BMI - Extracellular matrix remodeling in obese tissues	COL6A1|COL6A2|COL6A3|COL1A1|COL3A1|MMP2|MMP7|MMP8|MMP9|TIMP1|TIMP3|LOX|LOXL2|SPARC|TNC|FN1|CCDC80|SFRP2|MGP	Medium	19	Weight_BMI
Pan-tissue	All cells	Weight_BMI - SREBP lipogenesis: de novo lipid synthesis upregulated by BMI	SREBF1|SREBF2|SCAP|INSIG1|INSIG2|FASN|ACACA|ACACB|SCD|ELOVL6|ACLY|HMGCR|HMGCS1|LDLR|PCSK9|ABCA1	Medium	16	Weight_BMI
Pan-tissue	All cells	Weight_BMI - Novel Gemini-identified BMI genes: pan-tissue expression changes	CCDC80|CHURC1|CD300LG|GPD1L|HOGA1|RNF128|SNAPC3|YPEL3|ZNF117|ZNF423|ZNF646|FGR|FYB1|SLC27A2|PLA2G7|GSTM3|SOD3|GPX3	Low	18	Weight_BMI
Pan-tissue	All cells	Height - GH-IGF1 axis: core growth hormone/IGF signaling cascade	GH1|GH2|GHR|GHRHR|IGF1|IGF1R|IGF2|IGF2R|IGFALS|IGFBP1|IGFBP2|IGFBP3|IGFBP4|IGFBP5|JAK2|STAT5A|STAT5B|SOCS2|SOCS3|STC2|PAPPA|CSH1|CSH2	High	23	Height
Pan-tissue	All cells	Height - GIANT consortium GWAS: top height-associated loci with eQTL effects	HMGA2|LCORL|NCAPG|ZBTB38|GDF5|ACAN|ADAMTS17|ADAMTSL3|DLG2|GNA12|HHIP|CABLES1|CDK6|IHH|NPR2|NPPC|FBN1|EIF3H|NABP2|BPTF|INO80	High	21	Height
Pan-tissue	All cells	Height - mTOR pathway: mechanistic target of rapamycin growth signaling	MTOR|RPTOR|RICTOR|MLST8|DEPTOR|AKT1S1|MAPKAP1|RPS6KB1|EIF4EBP1|EIF4E|RPS6|TSC1|TSC2|RHEB|PRAS40|MAP4K3|MAP4K4	High	17	Height
Pan-tissue	All cells	Height - Hippo-YAP pathway: organ size control and tissue growth regulation	MST1|MST2|LATS1|LATS2|YAP1|WWTR1|TEAD1|TEAD2|TEAD3|TEAD4|STK4|STK3|SAV1|MOB1A|MOB1B|NF2|AMOT|AJUBA	High	18	Height
Pan-tissue	All cells	Height - BMP/GDF morphogens: bone/cartilage developmental signaling	BMP2|BMP4|BMP7|GDF5|GDF10|BMPR1A|BMPR1B|BMPR2|SMAD1|SMAD5|SMAD9|SMAD4|NOGGIN|GREM1|CHRD|FST|INHBA|ACVR2A	Medium	18	Height
Pan-tissue	All cells	Height - WNT/Hedgehog/Notch: developmental morphogen pathways affecting stature	WNT3A|WNT5A|WNT10B|CTNNB1|AXIN2|DVL1|FZD1|LRP5|LRP6|SHH|IHH|PTCH1|SMO|GLI1|GLI2|GLI3|HHIP|NOTCH1|NOTCH2|DLL1|JAG1|HES1|HEY1	Medium	23	Height
Pan-tissue	Chondrocytes	Height - Growth plate biology: chondrocyte maturation and long bone growth	COL2A1|COL10A1|COL11A1|ACAN|SOX9|SOX5|SOX6|RUNX2|SP7|IHH|PTH1R|PTHLH|FGFR3|FGFR1|FGF18|CNP|NPR2|MMP13|COMP|MATN3	Medium	20	Height
Pan-tissue	All cells	Height - PI3K-AKT growth signaling: nutrient sensing and cell size regulation	PIK3CA|PIK3CB|PIK3R1|AKT1|AKT2|PTEN|PDPK1|GSK3B|FOXO1|FOXO3|INSR|IGF1R|TSC1|TSC2|RPS6KB2|EIF4E|EIF4G1	Medium	17	Height
Pan-tissue	All cells	Height - Transcription factors: height-GWAS validated developmental TFs	HMGA2|TBX2|GNAS|DLX5|SHOX|SHOX2|HOXA13|HOXD13|RUNX2|SOX9|PAX1|PAX9|TBX15|TBX18|GDF5|BMP2|PITX1	Medium	17	Height
Pan-tissue	All cells	Height - Novel Gemini-identified height genes: cross-tissue stature signals	ACADVL|CSHP1|DET1|YY1|YY1AP1|HANDLS|FURIN|NCAPG|LCORL|GNA12|STC2|PAPPA|ACAN|HHIP	Low	14	Height
Pan-tissue	All cells	Ancestry - HLA/MHC region: highest population-differentiated expression locus	HLA-A|HLA-B|HLA-C|HLA-DRB1|HLA-DQA1|HLA-DQB1|HLA-DPA1|HLA-DPB1|HLA-DRA|B2M|TAP1|TAP2|PSMB8|PSMB9|TAPBP|MICA|MICB	High	17	Ancestry
Pan-tissue	All cells	Ancestry - Population-stratified eQTLs: top genes with ancestry-specific regulation	SLC16A11|SLC16A13|TCF7L2|KCNQ1|CDKAL1|HHEX|IGF2BP2|SLC30A8|FTO|MTNR1B|GCKR|PPARG|HNF1A|HNF4A|WFS1|KCNJ11|ABCC8|GCK	High	18	Ancestry
Pan-tissue	All cells	Ancestry - Skin pigmentation genes: strong population-differentiated expression	SLC24A5|SLC45A2|TYR|TYRP1|OCA2|HERC2|MC1R|ASIP|KITLG|IRF4|BNC2|DCT|PMEL|MLANA|MITF|SLC24A4|MFSD12	High	17	Ancestry
Pan-tissue	All cells	Ancestry - Immune response diversity: population-specific innate/adaptive immunity	TLR1|TLR6|TLR10|IL10|IL12B|IFNL3|IFNL4|CCR5|CXCR6|DUFFY|ACKR1|CR1|CD36|FCGR2A|FCGR3A|FCGR3B|APOL1|G6PD|HBB|HBA1|HBA2	High	21	Ancestry
Pan-tissue	All cells	Ancestry - East Asian-specific: T2D and metabolic disease loci (DIAMANTE)	SLC16A11|SLC16A13|PAX4|KCNQ1|ANK1|MAEA|GRB14|JAZF1|PTPRD|ADAMTS9|ZFAND3|RBMS1|GCC1|MIR129|CMIP	High	15	Ancestry
Pan-tissue	All cells	Ancestry - African-ancestry specific: disease-associated expression variants	APOL1|G6PD|HBB|HBA1|HBA2|ACKR1|TCF7L2|HMGA2|ZRANB3|INS|IGF2|HNF1A|ABCC8|SLC30A8	High	14	Ancestry
Pan-tissue	All cells	Ancestry - Drug metabolism pharmacogenomics: population-variable enzyme activity	CYP2D6|CYP2C19|CYP2C9|CYP3A5|CYP1A2|NAT2|UGT1A1|DPYD|TPMT|NUDT15|SLCO1B1|ABCB1|VKORC1|CYP2B6|CYP2A6	High	15	Ancestry
Pan-tissue	All cells	Ancestry - GTEx cross-population eQTL divergence: top ancestry-variable genes	ERAP2|BTNL2|LRRC25|NBPF3|CHURC1|ZNF232|TRIM38|GIMAP5|GIMAP7|APOBEC3A|APOBEC3B|OAS1|OAS2|OAS3|IFITM1|IFITM3	Medium	16	Ancestry
Pan-tissue	All cells	Ancestry - Lipid metabolism: population-specific cardiovascular risk genes	PCSK9|LDLR|APOE|APOB|APOC3|LPA|CETP|HMGCR|SORT1|ANGPTL3|ANGPTL4|LIPC|LPL|ABCA1|NPC1L1|SCARB1	Medium	16	Ancestry
Pan-tissue	All cells	Ancestry - Greenlandic/Arctic population: unique metabolic adaptation genes	TBC1D4|FADS1|FADS2|CPT1A|PPARGC1A|HMGA2|SLC16A11|FTO	Medium	8	Ancestry
Pan-tissue	All cells	Ancestry - Population structure confounders: ancestry-informative marker genes	SLC24A5|HERC2|LCT|MCM6|EDAR|ABCC11|ADH1B|ALDH2|SLC45A2|OCA2|IRF4|TYR|TYRP1|KITLG|BNC2|FADS1|FADS2|EPAS1|EGLN1	Medium	19	Ancestry
Pan-tissue	All cells	Ancestry - Novel population-differentiated genes: Gemini/GTEx cross-population	NBPF3|ZNF232|GIMAP5|GIMAP7|LRRC25|TRIM38|APOBEC3A|APOBEC3B|BTNL2|ERAP2|MFSD12|CREB3L1|RREB1|MCM6|LCT	Low	15	Ancestry
